subject_id,video_id,Week,Date,Time,date_inferred,Notes,License,Blackout Portions,Original_Drive_Path,Processed_Drive_Path
00400001,GX010024_2,06/26/2023-07/02/2023,06/30/2023,8:00 am,,,,,BabyView_Main/00400001/By_Date/06/26/2023-07/02/2023/GX010024_2.MP4,00400001_GX010024_2_06.26.2023-07.02.2023_06.30.2023-8:00am.MP4
00400001,GX010024,06/26/2023-07/02/2023,06/26/2023,5:21 pm,,,,,BabyView_Main/00400001/By_Date/06/26/2023-07/02/2023/GX010024.MP4,00400001_GX010024_06.26.2023-07.02.2023_06.26.2023-5:21pm.MP4
00400001,GX010025,06/26/2023-07/02/2023,07/01/2023,2:05 pm,,,,,BabyView_Main/00400001/By_Date/06/26/2023-07/02/2023/GX010025.MP4,00400001_GX010025_06.26.2023-07.02.2023_07.01.2023-2:05pm.MP4
00400001,GX010026,06/26/2023-07/02/2023,07/01/2023,2:05 pm,yes,,,,BabyView_Main/00400001/By_Date/06/26/2023-07/02/2023/GX010026.MP4,00400001_GX010026_06.26.2023-07.02.2023_07.01.2023-2:05pm.MP4
00400001,GX020024_1,06/26/2023-07/02/2023,06/27/2023,6:00 pm,,,,,BabyView_Main/00400001/By_Date/06/26/2023-07/02/2023/GX020024_1.MP4,00400001_GX020024_1_06.26.2023-07.02.2023_06.27.2023-6:00pm.MP4
00400001,GX020024_2,06/26/2023-07/02/2023,06/30/2023,8:00 am,,,,,BabyView_Main/00400001/By_Date/06/26/2023-07/02/2023/GX020024_2.MP4,00400001_GX020024_2_06.26.2023-07.02.2023_06.30.2023-8:00am.MP4
00400001,GX020024,06/26/2023-07/02/2023,06/26/2023,5:21 pm,,,,,BabyView_Main/00400001/By_Date/06/26/2023-07/02/2023/GX020024.MP4,00400001_GX020024_06.26.2023-07.02.2023_06.26.2023-5:21pm.MP4
00400001,GX020025,06/26/2023-07/02/2023,07/01/2023,2:05 pm,,,,,BabyView_Main/00400001/By_Date/06/26/2023-07/02/2023/GX020025.MP4,00400001_GX020025_06.26.2023-07.02.2023_07.01.2023-2:05pm.MP4
00400001,GX020026,06/26/2023-07/02/2023,07/01/2023,2:05 pm,yes,,,,BabyView_Main/00400001/By_Date/06/26/2023-07/02/2023/GX020026.MP4,00400001_GX020026_06.26.2023-07.02.2023_07.01.2023-2:05pm.MP4
00400001,GX030024_1,06/26/2023-07/02/2023,06/27/2023,6:00 pm,,,,,BabyView_Main/00400001/By_Date/06/26/2023-07/02/2023/GX030024_1.MP4,00400001_GX030024_1_06.26.2023-07.02.2023_06.27.2023-6:00pm.MP4
00400001,GX030024_2,06/26/2023-07/02/2023,06/30/2023,8:00 am,,,,,BabyView_Main/00400001/By_Date/06/26/2023-07/02/2023/GX030024_2.MP4,00400001_GX030024_2_06.26.2023-07.02.2023_06.30.2023-8:00am.MP4
00400001,GX030024,06/26/2023-07/02/2023,06/26/2023,5:21 pm,,,,,BabyView_Main/00400001/By_Date/06/26/2023-07/02/2023/GX030024.MP4,00400001_GX030024_06.26.2023-07.02.2023_06.26.2023-5:21pm.MP4
00400001,GX030025,06/26/2023-07/02/2023,07/01/2023,2:05 pm,,,,,BabyView_Main/00400001/By_Date/06/26/2023-07/02/2023/GX030025.MP4,00400001_GX030025_06.26.2023-07.02.2023_07.01.2023-2:05pm.MP4
00400001,GX030026,06/26/2023-07/02/2023,07/01/2023,2:05 pm,yes,,,,BabyView_Main/00400001/By_Date/06/26/2023-07/02/2023/GX030026.MP4,00400001_GX030026_06.26.2023-07.02.2023_07.01.2023-2:05pm.MP4
00400001,GX040025,06/26/2023-07/02/2023,07/01/2023,2:05 pm,,,,,BabyView_Main/00400001/By_Date/06/26/2023-07/02/2023/GX040025.MP4,00400001_GX040025_06.26.2023-07.02.2023_07.01.2023-2:05pm.MP4
00400001,GX050025,06/26/2023-07/02/2023,07/01/2023,2:05 pm,,,,,BabyView_Main/00400001/By_Date/06/26/2023-07/02/2023/GX050025.MP4,00400001_GX050025_06.26.2023-07.02.2023_07.01.2023-2:05pm.MP4
00400001,GX010027,07/03/2023-07/09/2023,07/03/2023,NA,,,,,BabyView_Main/00400001/By_Date/07/03/2023-07/09/2023/GX010027.MP4,00400001_GX010027_07.03.2023-07.09.2023_07.03.2023-NA.MP4
