File_Path,Highligh_Exist?,Highlight_Info
/BabyView_Main/00420001/00420001_GX040027__2024-04-30-16:34:03.zip,No,NA
/BabyView_Main/00420001/00420001_GX050027__2024-04-30-16:38:45.zip,No,NA
/BabyView_Main/00420001/00420001_GX030034__2024-04-30-16:31:11.zip,No,NA
/BabyView_Main/00420001/00420001_GX030036__2024-04-30-16:30:51.zip,No,NA
/BabyView_Main/00420001/00420001_GX010025__2024-04-30-02:46:41.zip,No,NA
/BabyView_Main/00420001/00420001_GX010026__2024-04-30-01:33:52.zip,No,NA
/BabyView_Main/00420001/00420001_GX010027__2024-04-30-01:10:53.zip,No,NA
/BabyView_Main/00420001/00420001_GX020027__2024-04-30-14:15:57.zip,No,NA
/BabyView_Main/00420001/00420001_GX030027__2024-04-30-15:31:48.zip,No,NA
/BabyView_Main/00420001/00420001_GX010029__2024-04-30-02:48:49.zip,No,NA
/BabyView_Main/00420001/00420001_GX010030__2024-04-30-02:50:25.zip,No,NA
/BabyView_Main/00420001/00420001_GX010030__2024-04-30-00:47:52.zip,No,NA
/BabyView_Main/00420001/00420001_GX010032__2024-04-30-03:06:11.zip,No,NA
/BabyView_Main/00420001/00420001_GX010033__2024-04-30-03:30:16.zip,No,NA
/BabyView_Main/00420001/00420001_GX010034__2024-04-30-03:29:11.zip,No,NA
/BabyView_Main/00420001/00420001_GX020034__2024-04-30-05:15:06.zip,No,NA
/BabyView_Main/00420001/00420001_GX010035__2024-04-30-03:53:14.zip,No,NA
/BabyView_Main/00420001/00420001_GX020035__2024-04-30-14:53:47.zip,No,NA
/BabyView_Main/00420001/00420001_GX010036__2024-04-30-04:51:33.zip,No,NA
/BabyView_Main/00420001/00420001_GX020036__2024-04-30-14:39:04.zip,No,NA
/BabyView_Main/00320002/00320002_GX010042_04.22.2024-04.28.2024_04.22.2024-12:07pm.zip,No,NA
/BabyView_Main/00320002/00320002_GX020042_04.22.2024-04.28.2024_04.22.2024-12:07pm.zip,No,NA
/BabyView_Main/00320002/00320002_GX030042_04.22.2024-04.28.2024_04.22.2024-12:07pm.zip,No,NA
/BabyView_Main/00320002/00320002_GX010045_04.22.2024-04.28.2024_04.22.2024-4:35pm.zip,No,NA
/BabyView_Main/00410001/00410001_GX010011__2024-05-02-02:57:22.zip,No,NA
/BabyView_Main/00220001/00220001_GX010024_04.22.2024-04.28.2024_04.24.2024-12:03pm.zip,No,NA
/BabyView_Main/00220001/00220001_GX010025__2024-04-30-19:10:25.zip,No,NA
/BabyView_Main/00220001/00220001_GX010024__2024-04-30-19:10:11.zip,No,NA
/BabyView_Main/00220001/00220001_GX030026__2024-04-30-18:09:24.zip,No,NA
/BabyView_Main/00220001/00220001_GX010026__2024-04-30-16:51:22.zip,No,NA
/BabyView_Main/00220001/00220001_GX020026__2024-04-30-17:38:42.zip,No,NA
/BabyView_Main/00550001/00550001_GX010016__2023-12-08-19:30:26.zip,No,NA
/BabyView_Main/00550001/00550001_GX010023__2023-12-08-18:06:43.zip,No,NA
/BabyView_Main/00550001/00550001_GX010015__2023-12-08-19:21:21.zip,No,NA
/BabyView_Main/00550001/00550001_GX010026__2023-12-08-19:29:52.zip,No,NA
/BabyView_Main/00550001/00550001_GX010025__2023-12-08-19:12:30.zip,No,NA
/BabyView_Main/00550001/00550001_GX010024__2023-12-08-19:03:25.zip,No,NA
/BabyView_Main/00550001/00550001_GX020025__2023-12-08-18:54:55.zip,No,NA
/BabyView_Main/00550001/00550001_GX020026__2023-12-08-18:53:03.zip,No,NA
/BabyView_Main/00550001/00550001_GX020015__2023-12-08-18:45:54.zip,No,NA
/BabyView_Main/00550001/00550001_GX020024__2023-12-08-18:38:37.zip,No,NA
/BabyView_Main/00550001/00550001_GX030026__2023-12-08-18:34:22.zip,No,NA
/BabyView_Main/00550001/00550001_GX040026__2023-12-08-18:28:06.zip,No,NA
/BabyView_Main/00550001/00550001_GX030015__2023-12-08-18:27:17.zip,No,NA
/BabyView_Main/00550001/00550001_GX040015__2023-12-08-18:21:56.zip,No,NA
/BabyView_Main/00550001/00550001_GX010004__2023-12-08-18:06:37.zip,No,NA
/BabyView_Main/00550001/00550001_GX010005__2023-12-08-18:20:48.zip,No,NA
/BabyView_Main/00550001/00550001_GX010006__2023-12-08-18:20:36.zip,No,NA
/BabyView_Main/00550001/00550001_GX010007__2023-12-08-18:19:53.zip,No,NA
/BabyView_Main/00550001/00550001_GX010008__2023-12-08-18:15:04.zip,No,NA
/BabyView_Main/00550001/00550001_GX010009__2023-12-08-18:08:09.zip,No,NA
/BabyView_Main/00550001/00550001_GX010010__2023-12-08-18:07:21.zip,No,NA
/BabyView_Main/00550001/00550001_GX010011__2023-12-08-18:07:09.zip,No,NA
/BabyView_Main/00550001/00550001_GX010012__2023-12-08-18:06:59.zip,No,NA
/BabyView_Main/00550001/00550001_GX010013__2023-12-08-18:06:54.zip,No,NA
/BabyView_Main/00550001/00550001_GX010007_Unknown_-_to_be_sorted_2023-12-04-03:02:36.zip,No,NA
/BabyView_Main/00550001/00550001_GX010008_Unknown_-_to_be_sorted_2023-12-04-03:10:20.zip,No,NA
/BabyView_Main/00550001/00550001_GX010009_Unknown_-_to_be_sorted_2023-12-04-03:53:06.zip,No,NA
/BabyView_Main/00820001/00820001_GX010064_11.27.2023-12.03.2023_11.29.2023-NA.zip,No,NA
/BabyView_Main/00820001/00820001_GX020064_11.27.2023-12.03.2023_11.29.2023-NA.zip,No,NA
/BabyView_Main/00820001/00820001_GX030064_11.27.2023-12.03.2023_11.29.2023-NA.zip,No,NA
/BabyView_Main/00820001/00820001_GX040064_12.04.2023-12.10.2023_12.09.2023-7:50am.zip,No,NA
/BabyView_Main/00820001/00820001_GX010065_12.04.2023-12.10.2023_12.04.2023-5:06pm.zip,No,NA
/BabyView_Main/00820001/00820001_GX020065_12.04.2023-12.10.2023_12.04.2023-5:06pm.zip,No,NA
/BabyView_Main/00820001/00820001_GX030065_12.04.2023-12.10.2023_12.04.2023-5:06pm.zip,No,NA
/BabyView_Main/00820001/00820001_GX010064_12.04.2023-12.10.2023_11.29.2023-NA.zip,No,NA
/BabyView_Main/00820001/00820001_GX020064_12.04.2023-12.10.2023_11.29.2023-NA.zip,No,NA
/BabyView_Main/00820001/00820001_GX030064_12.04.2023-12.10.2023_11.29.2023-NA.zip,No,NA
/BabyView_Main/00820001/00820001_GX010064_12.18.2023-12.24.2023_11.29.2023-NA.zip,No,NA
/BabyView_Main/00820001/00820001_GX020064_12.18.2023-12.24.2023_11.29.2023-NA.zip,No,NA
/BabyView_Main/00820001/00820001_GX030064_12.18.2023-12.24.2023_11.29.2023-NA.zip,No,NA
/BabyView_Main/00820001/00820001_GX040064_12.18.2023-12.24.2023_12.09.2023-7:50am.zip,No,NA
/BabyView_Main/00820001/00820001_GX010065_12.18.2023-12.24.2023_12.04.2023-5:06pm.zip,No,NA
/BabyView_Main/00820001/00820001_GX020065_12.18.2023-12.24.2023_12.04.2023-5:06pm.zip,No,NA
/BabyView_Main/00820001/00820001_GX030065_12.18.2023-12.24.2023_12.04.2023-5:06pm.zip,No,NA
/BabyView_Main/00820001/00820001_GX010064_01.08.2024-01.14.2024_11.29.2023-NA.zip,No,NA
/BabyView_Main/00820001/00820001_GX020064_01.08.2024-01.14.2024_11.29.2023-NA.zip,No,NA
/BabyView_Main/00820001/00820001_GX030064_01.08.2024-01.14.2024_11.29.2023-NA.zip,No,NA
/BabyView_Main/00820001/00820001_GX040064_01.08.2024-01.14.2024_12.09.2023-7:50am.zip,No,NA
/BabyView_Main/00820001/00820001_GX010065_01.08.2024-01.14.2024_12.04.2023-5:06pm.zip,No,NA
/BabyView_Main/00820001/00820001_GX020065_01.08.2024-01.14.2024_12.04.2023-5:06pm.zip,No,NA
/BabyView_Main/00820001/00820001_GX030065_01.08.2024-01.14.2024_12.04.2023-5:06pm.zip,No,NA
/BabyView_Main/00820001/00820001_GX010066_01.08.2024-01.14.2024_01.12.2024-5:16pm.zip,No,NA
/BabyView_Main/00820001/00820001_GX020066_01.08.2024-01.14.2024_01.12.2024-5:16pm.zip,No,NA
/BabyView_Main/00820001/00820001_GX030066_01.08.2024-01.14.2024_01.12.2024-5:16pm.zip,No,NA
/BabyView_Main/00820001/00820001_GX010066_01.15.2024-01.21.2024_01.12.2024-5:16pm.zip,No,NA
/BabyView_Main/00820001/00820001_GX020066_01.15.2024-01.21.2024_01.12.2024-5:16pm.zip,No,NA
/BabyView_Main/00820001/00820001_GX030066_01.15.2024-01.21.2024_01.12.2024-5:16pm.zip,No,NA
/BabyView_Main/00820001/00820001_GX010066_02.05.2024-02.11.2024_01.12.2024-5:16pm.zip,No,NA
/BabyView_Main/00820001/00820001_GX020066_02.05.2024-02.11.2024_01.12.2024-5:16pm.zip,No,NA
/BabyView_Main/00820001/00820001_GX030066_02.05.2024-02.11.2024_01.12.2024-5:16pm.zip,No,NA
/BabyView_Main/00820001/00820001_GX010067_02.05.2024-02.11.2024_NA-NA.zip,No,NA
/BabyView_Main/00820001/00820001_GX020067_02.05.2024-02.11.2024_NA-NA.zip,No,NA
/BabyView_Main/00820001/00820001_GX030067_02.05.2024-02.11.2024_NA-NA.zip,No,NA
/BabyView_Main/00820001/00820001_GX010068_02.05.2024-02.11.2024_2024-02-14-00:27:51.zip,No,NA
/BabyView_Main/00820001/00820001_GX010069_02.19.2024-02.25.2024_02.19.2024-4:33pm.zip,No,NA
/BabyView_Main/00820001/00820001_GX020069_02.19.2024-02.25.2024_02.19.2024-4:33pm.zip,No,NA
/BabyView_Main/00820001/00820001_GX030069_02.19.2024-02.25.2024_02.19.2024-4:33pm.zip,No,NA
/BabyView_Main/00820001/00820001_GX010070_02.19.2024-02.25.2024_02.19.2024-4:33pm.zip,No,NA
/BabyView_Main/00820001/00820001_GX020070_02.19.2024-02.25.2024_02.19.2024-4:33pm.zip,No,NA
/BabyView_Main/00820001/00820001_GX010071_02.19.2024-02.25.2024_02.23.2024-5:32pm.zip,No,NA
/BabyView_Main/00820001/00820001_GX020071_02.19.2024-02.25.2024_02.23.2024-5:32pm.zip,No,NA
/BabyView_Main/00820001/00820001_GX030071_02.19.2024-02.25.2024_02.23.2024-5:32pm.zip,No,NA
/BabyView_Main/00820001/00820001_GX010072_02.26.2024-03.03.2024_03.03.2024-9:42am.zip,No,NA
/BabyView_Main/00820001/00820001_GX020072_02.26.2024-03.03.2024_03.03.2024-9:42am.zip,No,NA
/BabyView_Main/00820001/00820001_GX030072_02.26.2024-03.03.2024_03.03.2024-9:42am.zip,No,NA
/BabyView_Main/00820001/00820001_GX040072_02.26.2024-03.03.2024_03.03.2024-9:42am.zip,No,NA
/BabyView_Main/00820001/00820001_GX010073_02.26.2024-03.03.2024_03.03.2024-9:42am.zip,No,NA
/BabyView_Main/00820001/00820001_GX020073_02.26.2024-03.03.2024_03.03.2024-9:42am.zip,No,NA
/BabyView_Main/00820001/00820001_GX030073_02.26.2024-03.03.2024_03.03.2024-9:42am.zip,No,NA
/BabyView_Main/00820001/00820001_GX010072_03.04.2024-03.10.2024_03.03.2024-9:42am.zip,No,NA
/BabyView_Main/00820001/00820001_GX020072_03.04.2024-03.10.2024_03.03.2024-9:42am.zip,No,NA
/BabyView_Main/00820001/00820001_GX010073_03.04.2024-03.10.2024_03.03.2024-9:42am.zip,No,NA
/BabyView_Main/00820001/00820001_GX020073_03.04.2024-03.10.2024_03.03.2024-9:42am.zip,No,NA
/BabyView_Main/00820001/00820001_GX030073_03.04.2024-03.10.2024_03.03.2024-9:42am.zip,No,NA
/BabyView_Main/00820001/00820001_GX010074_03.04.2024-03.10.2024_03.10.2024-9:19am.zip,No,NA
/BabyView_Main/00820001/00820001_GX020074_03.04.2024-03.10.2024_03.10.2024-9:19am.zip,No,NA
/BabyView_Main/00820001/00820001_GX030074_03.04.2024-03.10.2024_03.10.2024-9:19am.zip,No,NA
/BabyView_Main/00820001/00820001_GX040074_03.04.2024-03.10.2024_03.10.2024-9:19am.zip,No,NA
/BabyView_Main/00820001/00820001_GX010075_03.04.2024-03.10.2024_NA-NA.zip,No,NA
/BabyView_Main/00820001/00820001_GX010076_03.11.2024-03.17.2024_03.14.2024-5:56pm.zip,No,NA
/BabyView_Main/00820001/00820001_GX020076_03.11.2024-03.17.2024_03.14.2024-5:56pm.zip,No,NA
/BabyView_Main/00820001/00820001_GX010076_03.18.2024-03.24.2024_03.14.2024-5:56pm.zip,No,NA
/BabyView_Main/00820001/00820001_GX020076_03.18.2024-03.24.2024_03.14.2024-5:56pm.zip,No,NA
/BabyView_Main/00820001/00820001_GX030076_03.18.2024-03.24.2024_NA-NA.zip,No,NA
/BabyView_Main/00820001/00820001_GX010077_03.18.2024-03.24.2024_03.20.2024-5:04pm.zip,No,NA
/BabyView_Main/00820001/00820001_GX010078_03.18.2024-03.24.2024_03.24.2024-NA.zip,No,NA
/BabyView_Main/00820001/00820001_GX020078_03.18.2024-03.24.2024_03.24.2024-NA.zip,No,NA
/BabyView_Main/00820001/00820001_GX010078_04.08.2024-04.14.2024_03.24.2024-NA.zip,No,NA
/BabyView_Main/00820001/00820001_GX020078_04.08.2024-04.14.2024_03.24.2024-NA.zip,No,NA
/BabyView_Main/00820001/00820001_GX030078_04.08.2024-04.14.2024_NA-NA.zip,No,NA
/BabyView_Main/00820001/00820001_GX010079_04.08.2024-04.14.2024_04.09.2024-NA.zip,No,NA
/BabyView_Main/00820001/00820001_GX020079_04.08.2024-04.14.2024_04.09.2024-NA.zip,No,NA
/BabyView_Main/00820001/00820001_GX030079_04.08.2024-04.14.2024_04.09.2024-NA.zip,No,NA
