Participant ID,Duration,File Size (MB)
01420001,00:18:45,1068.2023267745972
01450001,00:19:54,742.9545545578003
01480001,02:50:29,4010.4517765045166
01520001,01:30:42,5235.679919242859
01550001,00:01:46,139.710542678833
01560001,00:46:14,1609.0118370056152
01590001,01:38:37,3754.67866230011
01640001,01:32:43,2190.0310792922974
01670001,03:13:43,5268.742959976196
01720001,02:54:21,4142.945653915405
01740001,01:41:04,3126.9654626846313
01750001,01:01:15,1708.8577194213867
01850001,00:03:40,111.30011463165285
01920001,02:02:28,3037.5184059143066
01970002,03:09:13,5023.415066719055
01970003,02:49:34,6106.295919418335
01990001,01:35:53,2489.98317527771
02080001,02:00:31,4185.651027679443
02090001,00:48:01,1890.058762550354
02100001,02:15:29,4080.115298271179
02140001,02:56:36,4623.272372245789
02300001,02:01:36,2765.7867727279663
02330001,00:27:37,669.9466400146484
02370001,01:26:09,2588.0461387634277
02390001,03:00:18,4957.080366134644
02410001,03:02:16,5057.752063751221
02450001,00:51:11,2111.8087682724
02490001,03:21:50,6078.537426948547
02510001,02:05:11,3037.3651371002197
02550001,02:10:47,3184.0479860305786
02620001,01:30:21,3330.9319581985474
02670001,01:40:52,2296.8418855667114
02730001,01:13:08,2364.340576171875
02740001,01:38:32,3549.808256149292
02750001,01:20:53,2421.9675273895264
02750002,00:46:18,1108.4012746810913
02800001,01:46:05,3891.3651275634766
02800002,00:30:21,1028.1347255706787
02950001,01:44:35,3580.26082611084
02980001,01:13:00,2422.086009979248
Bobby_Temp,01:32:25,3264.0223426818848
Total,68:54:41,124254.3744468689
