full_paths,date,duration
/data/yinzi/babyview_20240503/00400001/00400001_GX010015_06.12.2023-06.18.2023_06.15.2023-6:00pm.MP4,2023-06-15,704.73
/data/yinzi/babyview_20240503/00400001/00400001_GX010111_11.13.2023-11.19.2023_11.18.2023-10:23am.MP4,2023-11-18,704.7
/data/yinzi/babyview_20240503/00400001/00400001_GX010029_07.03.2023-07.09.2023_07.04.2023-11:18am.MP4,2023-07-04,896.92
/data/yinzi/babyview_20240503/00400001/00400001_GX010160_02.26.2024-03.03.2024_03.03.2024-NA.MP4,2024-03-03,768.79
/data/yinzi/babyview_20240503/00400001/00400001_GX020070_09.11.2023-09.17.2023_09.12.2023-6:57pm.MP4,2023-09-12,469.07
/data/yinzi/babyview_20240503/00400001/00400001_GX010068_09.04.2023-09.10.2023_09.07.2023-9:24am.MP4,2023-09-07,768.77
/data/yinzi/babyview_20240503/00400001/00400001_GX010067_09.04.2023-09.10.2023_09.06.2023-6:41pm.MP4,2023-09-06,822.52
/data/yinzi/babyview_20240503/00400001/00400001_GX030133_01.15.2024-01.21.2024_01.16.2024-NA.MP4,2024-01-16,581.72
/data/yinzi/babyview_20240503/00400001/00400001_GX010024_2_06.26.2023-07.02.2023_06.30.2023-8:00am.MP4,2023-06-30,1025.05
/data/yinzi/babyview_20240503/00400001/00400001_GX020093_10.09.2023-10.15.2023_10.14.2023-NA.MP4,2023-10-14,832.83
/data/yinzi/babyview_20240503/00400001/00400001_GX010061_08.28.2023-09.03.2023_08.31.2023-3:11pm.MP4,2023-08-31,768.77
/data/yinzi/babyview_20240503/00400001/00400001_GX010098_10.23.2023-10.29.2023_10.26.2023-6:20pm.MP4,2023-10-26,832.83
/data/yinzi/babyview_20240503/00400001/00400001_GX010047_08.07.2023-08.13.2023_08.07.2023-11:35am.MP4,2023-08-07,242.18
/data/yinzi/babyview_20240503/00400001/00400001_GX030084_10.02.2023-10.08.2023_10.06.2023-8:03am.MP4,2023-10-06,128.68
/data/yinzi/babyview_20240503/00400001/00400001_GX010075_09.27_09.25.2023-10.01.2023_09.27.2023-6:49pm.MP4,2023-09-27,876.14
/data/yinzi/babyview_20240503/00400001/00400001_GX020045_07.31.2023-08.06.2023_08.06.2023-5:50pm.MP4,2023-08-06,325.7
/data/yinzi/babyview_20240503/00400001/00400001_GX010076_09.28_09.25.2023-10.01.2023_09.28.2023-8:31am.MP4,2023-09-28,198.57
/data/yinzi/babyview_20240503/00400001/00400001_GX030076_09.17.2023-09.24.2023_09.24.2023-am.MP4,2023-09-24,832.83
/data/yinzi/babyview_20240503/00400001/00400001_GX020018_06.12.2023-06.18.2023_06.16.2023-NA.MP4,2023-06-16,832.85
/data/yinzi/babyview_20240503/00400001/00400001_GX030043_07.31.2023-08.06.2023_08.03.2023-6:33pm.MP4,2023-08-03,486.66
/data/yinzi/babyview_20240503/00400001/00400001_GX010128_01.01.2024-01.07.2024_2024-01-09-00:41:58.MP4,2024-01-09,704.73
/data/yinzi/babyview_20240503/00400001/00400001_GX030018_06.12.2023-06.18.2023_06.16.2023-NA.MP4,2023-06-16,896.92
/data/yinzi/babyview_20240503/00400001/00400001_GX010053_08.21.2023-08.27.2023_NA-NA.MP4,2023-08-21,768.77
/data/yinzi/babyview_20240503/00400001/00400001_GX010119_12.18.2023-12.24.2023_12.22.2023-8:32am.MP4,2023-12-22,704.73
/data/yinzi/babyview_20240503/00400001/00400001_GX020117_12.18.2023-12.24.2023_12.16.2023-8:34am.MP4,2023-12-16,710.68
/data/yinzi/babyview_20240503/00400001/00400001_GX040025_06.26.2023-07.02.2023_07.01.2023-2:05pm.MP4,2023-07-01,704.73
/data/yinzi/babyview_20240503/00400001/00400001_GX020065_09.04.2023-09.10.2023_09.05.2023-4:02pm.MP4,2023-09-05,717.28
/data/yinzi/babyview_20240503/00400001/00400001_GX020054_08.07.2023-08.13.2023_08.07.2023-3:45pm.MP4,2023-08-07,768.79
/data/yinzi/babyview_20240503/00400001/00400001_GX020148_02.19.2024-02.25.2024_02.19.2024-8:30am.MP4,2024-02-19,768.79
/data/yinzi/babyview_20240503/00400001/00400001_GX010041_07.31.2023-08.06.2023_08.01.2023-8:20am.MP4,2023-08-01,832.85
/data/yinzi/babyview_20240503/00400001/00400001_GX020096_10.16.2023-10.22.2023_10.22.2023-9:25am.MP4,2023-10-22,411.88
/data/yinzi/babyview_20240503/00400001/00400001_GX010170_04.15.2024-04.21.2024_04.19.2024-5:50pm.MP4,2024-04-19,934.47
/data/yinzi/babyview_20240503/00400001/00400001_GX040093_10.16.2023-10.22.2023_10.17.2023-6:10pm.MP4,2023-10-17,337.88
/data/yinzi/babyview_20240503/00400001/00400001_GX010159_02.26.2024-03.03.2024_03.03.2024-NA.MP4,2024-03-03,623.53
