Participant ID,Duration,File Size (MB)
00220001,08:37:59,13675.732038497925
00230001,05:09:17,5550.700524330139
00240001,26:38:57,26366.70313358307
00270001,51:32:06,109951.7071647644
00320001,36:59:52,46564.62497329712
00320002,08:39:09,10096.559239387512
00320003,13:23:32,16835.136520385742
00350001,01:26:39,1639.663390159607
00370001,19:38:55,38487.44962501526
00370002,16:49:39,22954.680554389954
00400001,65:28:44,85553.29878234863
00400002,30:42:31,32871.3673992157
00400003,27:59:04,30091.69462966919
00410001,00:23:30,311.4225730895996
00420001,12:41:04,25976.627140045166
00430001,31:55:40,34372.728075027466
00440001,04:55:53,5464.521594047546
00460001,02:54:03,4918.995376586914
00490001,10:11:01,18127.767518043518
00500001,27:00:12,35879.84310722351
00510001,06:46:08,11196.208062171936
00550001,03:40:01,4459.196666717529
00560001,25:54:37,31466.364638328552
00680001,13:42:49,29195.30877304077
00720001,20:32:24,24422.636845588684
00820001,46:23:10,61768.35518741608
Bria_Long,00:24:51,246.79826259613037
Erica_Yoon,01:00:59,1573.1345357894897
Total,521:32:57,730019.2263307571
